,Brands,Colors,Battery,Price,Original_price,Rating,Total_reviews,Discount
0,aroma,electric white,50,479,2999,4.0,538,84
1,boult,white opal,48,1199,3499,4.1,121538,65
2,boat,mocha elegance,100,899,4990,4.0,42973,81
3,boat,pebble black,40,799,2490,4.0,1257788,67
4,realme,jazz blue,38,1099,2999,4.2,365802,63
5,noise,midnight blue,50,799,2999,4.0,599132,73
6,boat,frosted mint,100,899,4990,4.0,42973,81
7,cmf,dark grey,34,1799,2999,4.3,44225,40
8,portronics,black,20,692,1999,4.0,7820,65
9,realme,punk black,38,1099,2999,4.2,365802,63
10,boult,ivory white,48,899,2999,4.1,131863,70
11,aroma,electric blue,50,479,2999,4.0,538,84
12,hoppup,black,50,798,4999,4.1,28538,84
13,cmf,orange,34,1799,2999,4.3,44225,40
14,realme,country green,38,1099,2999,4.2,365802,63
15,nu,blue,48,799,3499,4.1,494,77
16,triggr,black,34,799,3999,4.0,58526,80
17,boult,electric black,48,899,2999,4.1,131863,70
18,hoppup,black grey,34,899,5999,4.0,1242,85
19,oppo,midnight,28,1399,3999,4.3,419045,65
20,aroma,white,60,493,2899,4.0,538,82
21,aroma,galaxy black,60,493,2899,4.0,538,82
22,saztech,white,34,499,4999,4.0,22,90
23,truke,black,60,799,2999,4.0,27432,73
24,boat,olive green,40,799,2490,4.0,1257788,67
25,boat,cool sapphire,40,799,2490,4.0,1257788,67
26,aroma,electric green,50,479,2999,4.0,538,84
27,boult,glacier blue,35,899,2499,4.1,169713,64
28,boat,midnight blue,60,729,2990,4.0,1946756,75
29,boat,serene green,50,1099,6490,4.1,112128,83
30,boult,powder blue,60,999,5999,4.1,73945,83
31,triggr,jungle green,40,599,2999,4.0,42330,80
32,oppo,lilac blue,28,1599,3999,4.3,419045,60
33,nu,sterling silver,56,849,2999,4.6,339,71
34,hoppup,wine,40,599,3999,4.1,49895,85
35,oneplus,starry black,34,2699,3699,4.4,19470,27
36,boult,lavender,48,799,2999,4.1,460,73
37,hoppup,red,34,799,4999,4.0,4324,84
38,infinix,black,34,1099,2999,4.0,145,63
39,realme,pop white,38,1099,2999,4.2,365802,63
40,aroma,electric white,50,479,2999,4.0,538,84
41,boult,white opal,48,1199,3499,4.1,121538,65
42,triggr,black,34,799,3999,4.0,58526,80
43,boult,jet black,60,999,5999,4.1,73945,83
44,boat,serene green,50,1099,6490,4.1,112128,83
45,realme,forrest green,34,2799,5999,4.4,16174,53
46,aroma,electric blue,50,479,2999,4.0,538,84
47,boult,electric black,48,899,2999,4.1,131863,70
48,truke,black,48,799,3499,4.0,77912,77
49,boult,berry red,48,899,2999,4.1,131863,70
50,aroma,galaxy black,60,493,2899,4.0,538,82
51,hoppup,red,34,799,4999,4.0,4324,84
52,cmf,orange,34,1799,2999,4.3,44225,40
53,boat,midnight blue,60,729,2990,4.0,1946756,75
54,realme,country green,38,1099,2999,4.2,365802,63
55,noise,deep wine,40,799,3499,4.1,92103,77
56,aroma,electric black,50,479,2999,4.0,538,84
57,aroma,white,60,493,2899,4.0,538,82
58,boult,black gloss,48,1299,3499,4.1,121538,62
59,boult,jungle,100,1299,5499,4.1,127008,76
60,boult,ivory white,48,899,2999,4.1,131863,70
61,aroma,electric green,50,479,2999,4.0,538,84
62,noise,forest green,50,1299,3499,4.0,599132,62
63,number,glass black,34,799,4999,4.0,21378,84
64,boat,sporty blue,50,1099,5990,4.1,112128,81
65,mivi,icy black,34,1099,5999,4.3,10527,81
66,noise,midnight blue,50,799,2999,4.0,599132,73
67,aroma,galaxy green,60,493,2899,4.0,538,82
68,realme,flame silver,34,2799,5999,4.4,16174,53
69,noise,olive green,40,799,3499,4.1,92103,77
70,boult,lavender,48,799,2999,4.1,460,73
71,triggr,jungle green,40,599,2999,4.0,42330,80
72,triggr,sky black,40,599,2999,4.0,42330,80
73,boat,ash grey,50,799,2990,3.9,24988,73
74,noise,ice blue,40,799,3499,4.1,92103,77
75,boult,dawn,100,1299,5499,4.1,127008,76
76,hoppup,black,34,699,4999,4.1,5762,86
77,hoppup,blue,40,599,3999,4.1,49895,85
78,cmf,light grey,34,1799,2999,4.3,44225,40
79,oneplus,soft jade,34,2699,3699,4.4,19470,27
80,aroma,electric white,50,479,2999,4.0,538,84
81,boult,white opal,48,1199,3499,4.1,121538,65
82,hoppup,white,34,699,4999,4.1,5762,86
83,dubstep,black yellow,50,699,2999,4.4,595,76
84,triggr,army green,34,799,3999,4.0,10320,80
85,nu,green,64,1499,4999,4.7,157,70
86,noise,midnight blue,50,799,2999,4.0,599132,73
87,boult,ivory white,48,899,2999,4.1,131863,70
88,hoppup,red,34,799,4999,4.0,4324,84
89,noise,pearl white,50,799,2999,4.0,599132,73
90,aroma,electric blue,50,479,2999,4.0,538,84
91,triggr,black,34,799,3999,4.0,58526,80
92,boat,metallic grey,50,1399,6490,4.1,112128,78
93,nothing,white,34,8999,14999,4.4,1286,40
94,sony,black,34,3990,8990,4.2,432,55
95,touch,white,34,360,1099,4.3,3,67
96,boult,electric black,48,899,2999,4.1,131863,70
97,aroma,galaxy black,60,493,2899,4.0,538,82
98,oneplus,triple blue,34,1599,2299,4.4,193204,30
99,boult,metal,100,1299,5499,4.1,127008,76
100,aroma,white,60,493,2899,4.0,538,82
101,aroma,electric green,50,479,2999,4.0,538,84
102,boat,interstellar white,34,1599,6490,4.1,9693,75
103,boat,blue,50,1199,6999,4.0,1257788,82
