,Brands,Colors,Battery,Price,Original_price,Rating,Total_reviews,Discount
0,TRIGGR,"Army Green, True Wireless",,₹799,"₹3,999",4,"(10,373)",80% off
1,Boult,"Electric Black, True Wireless","('48H', 'H')","₹1,099","₹2,999",4.1,"(1,32,105)",63% off
2,boAt,"Mocha Elegance, True Wireless","('100 HRS', 'HRS')",₹899,"₹4,990",4,"(43,235)",81% off
3,boAt,"Pebble Black, True Wireless","('40 HRS', 'HRS')",₹799,"₹2,490",4,"(12,58,722)",67% off
4,realme,"Jazz Blue, True Wireless","('38 h', 'h')","₹1,199","₹2,999",4.2,"(3,66,317)",60% off
5,TRIGGR,"Black, True Wireless",,₹799,"₹3,999",4,"(58,593)",80% off
6,realme,"Punk Black, True Wireless","('38 h', 'h')","₹1,099","₹2,999",4.2,"(3,66,317)",63% off
7,boAt,"Frosted Mint, True Wireless","('100 HRS', 'HRS')",₹899,"₹4,990",4,"(43,235)",81% off
8,boAt,"Olive Green, True Wireless","('40 Hours', 'Hours')",₹799,"₹2,490",4,"(12,58,722)",67% off
9,boAt,"Cool Sapphire, True Wireless","('40 HRS', 'HRS')",₹799,"₹2,490",4,"(12,58,722)",67% off
10,TRIGGR,"Punk Yellow, True Wireless",,₹799,"₹3,999",4,"(10,373)",80% off
11,Boult,"Ivory White, True Wireless","('48H', 'H')","₹1,099","₹2,999",4.1,"(1,32,105)",63% off
12,OnePlus,"Starry Black, True Wireless",,"₹2,699","₹3,699",4.4,"(19,577)",27% off
13,boAt,"Serene Green, True Wireless","('50 HRS', 'HRS')","₹1,099","₹6,490",4.1,"(1,12,385)",83% off
14,boAt,"Midnight Blue, True Wireless","('60 hours', 'hours')",₹729,"₹2,990",4,"(19,47,168)",75% off
15,HOPPUP,"Black, True Wireless","('50H', 'H')",₹799,"₹4,999",4.1,"(28,560)",84% off
16,TRIGGR,"Jungle Green, True Wireless","('40H', 'H')",₹599,"₹2,999",4,"(42,420)",80% off
17,HOPPUP,"Red, True Wireless",,₹799,"₹4,999",4,"(4,340)",84% off
18,CMF,"Orange, True Wireless",,"₹1,799","₹2,999",4.3,"(44,362)",40% off
19,Saztech,"White, True Wireless",,₹499,"₹4,999",3.6,(32),90% off
20,TRIGGR,"Sky Black, True Wireless","('40H', 'H')",₹599,"₹2,999",4,"(42,420)",80% off
21,TRIGGR,"Gotham Black, True Wireless",,₹799,"₹3,999",4,"(10,373)",80% off
22,OPPO,"Midnight, True Wireless","('28 hours', 'hours')","₹1,399","₹3,999",4.3,"(4,19,282)",65% off
23,boAt,"Active Black, True Wireless","('60 hours', 'hours')",₹729,"₹2,990",4,"(19,47,168)",75% off
24,SONY,"Black, True Wireless",,"₹3,990","₹8,990",4.2,(434),55% off
25,boAt,"White, True Wireless","('40 H', 'H')",₹999,"₹3,499",4,"(12,58,722)",71% off
26,Boult,"Powder Blue, True Wireless","('60H', 'H')",₹999,"₹5,999",4.1,"(74,168)",83% off
27,Syvo,"Green, True Wireless","('24H', 'H')",₹799,"₹3,999",5,(79),80% off
28,boAt,"Coral Bloom, True Wireless","('100 HRS', 'HRS')",₹899,"₹4,990",4,"(43,235)",81% off
29,HOPPUP,"Black, Grey, True Wireless",,₹899,"₹5,999",4,"(1,249)",85% off
30,HOPPUP,"Blue, True Wireless","('40H', 'H')",₹599,"₹3,999",4.1,"(49,973)",85% off
31,Boult,"Coral White, True Wireless","('55H', 'H')",₹799,"₹2,499",4,"(13,746)",68% off
32,CMF,"Dark Grey, True Wireless",,"₹1,799","₹2,999",4.3,"(44,362)",40% off
33,realme,"Pop White, True Wireless","('38 h', 'h')","₹1,099","₹2,999",4.2,"(3,66,317)",63% off
34,OnePlus,"Deep Grey, True Wireless",,"₹1,599","₹2,299",4.4,"(1,93,651)",30% off
35,boAt,"Coco Brown, True Wireless",,₹999,"₹5,490",4,"(1,38,249)",81% off
36,TRIGGR,"Blaze White, True Wireless","('40H', 'H')",₹699,"₹2,999",4,"(42,420)",76% off
37,Number,"Glass Black, True Wireless",,₹799,"₹4,999",4,"(21,438)",84% off
38,Infinix,"Black, True Wireless",,"₹1,099","₹2,999",4,(148),63% off
39,truke,"Black, True Wireless","('60 Hours', 'Hours')",₹799,"₹2,999",4,"(27,503)",73% off
40,Aroma,"Electric White, True Wireless","('50H', 'H')",₹479,"₹2,999",3.9,(591),84% off
41,Aroma,"Electric Blue, True Wireless","('50H', 'H')",₹479,"₹2,999",3.9,(591),84% off
42,OPPO,"Lilac blue, True Wireless","('28 hours', 'hours')","₹1,599","₹3,999",4.3,"(4,19,282)",60% off
43,ModishOmbre,"Pink, True Wireless",,₹398,"₹1,999",4,(5),80% off
44,boAt,"Classic Black, True Wireless","('50 HRS', 'HRS')","₹1,099","₹5,990",4.1,"(1,12,385)",81% off
45,HOPPUP,"Blue, True Wireless",,₹699,"₹4,999",4.1,"(5,780)",86% off
46,Aroma,"Galaxy Black, True Wireless","('60H', 'H')",₹493,"₹2,899",3.9,(591),82% off
47,TRIGGR,"Black, True Wireless",,₹799,"₹3,999",4,"(58,593)",80% off
48,boAt,"Ivory White, True Wireless","('120 Hours', 'Hours')","₹1,589","₹7,990",4.1,"(1,07,333)",80% off
49,realme,"COUNTRY GREEN, True Wireless","('38 hours', 'hours')","₹1,099","₹2,999",4.2,"(3,66,317)",63% off
50,Boult,"Electric Black, True Wireless","('48H', 'H')","₹1,099","₹2,999",4.1,"(1,32,105)",63% off
51,Noise,"Midnight Blue, True Wireless","('50 H', 'H')",₹899,"₹2,999",4,"(5,99,343)",70% off
52,TRIGGR,"Army Green, True Wireless",,₹799,"₹3,999",4,"(10,373)",80% off
53,boAt,"Pearl White, True Wireless","('40 HRS', 'HRS')",₹799,"₹2,490",4,"(12,58,722)",67% off
54,Nothing,"White, True Wireless",,"₹8,999","₹14,999",4.4,"(1,289)",40% off
55,Nu,"Black/Yellow, True Wireless","('64h', 'h')",₹899,"₹3,999",4.7,(157),77% off
56,HOPPUP,"Red, True Wireless",,₹799,"₹4,999",4,"(4,340)",84% off
57,Aroma,"White, True Wireless","('60H', 'H')",₹493,"₹2,899",3.9,(591),82% off
58,Elver,"Black, True Wireless",,"₹1,255","₹4,599",3.9,(72),72% off
59,boAt,"Electric Blue, True Wireless","('40 HRS', 'HRS')",₹999,"₹2,490",4,"(12,58,722)",59% off
60,Aroma,"Electric Green, True Wireless","('50H', 'H')",₹479,"₹2,999",3.9,(591),84% off
61,Aroma,"Galaxy Green, True Wireless","('60H', 'H')",₹493,"₹2,899",3.9,(591),82% off
62,boAt,"Black, True Wireless","('50 HRS', 'HRS')","₹1,199","₹6,999",4,"(12,58,722)",82% off
63,XEWISS,"Black, True Wireless",,₹699,"₹2,999",4.8,(5),76% off
64,boAt,"Slate Blue, True Wireless",,₹999,"₹5,490",4,"(1,38,249)",81% off
65,boAt,"Ivory White, True Wireless","('50HRS', 'HRS')","₹1,299","₹4,990",4.1,"(2,460)",73% off
66,TRIGGR,"Jungle Green, True Wireless","('40H', 'H')",₹599,"₹2,999",4,"(42,420)",80% off
67,Boult,"Ivory White, True Wireless","('48H', 'H')","₹1,099","₹2,999",4.1,"(1,32,105)",63% off
68,boAt,"Ash Grey, True Wireless","('50H', 'H')",₹799,"₹2,990",3.9,"(25,104)",73% off
69,Mivi,"Icy Black, True Wireless",,"₹1,099","₹5,999",4.3,"(10,574)",81% off
70,Boult,"White Opal, True Wireless","('48H', 'H')","₹1,199","₹3,499",4.1,"(1,21,719)",65% off
71,CMF,"Dark Grey, True Wireless",,"₹1,799","₹2,999",4.3,"(44,362)",40% off
72,boAt,"Charcoal Black, True Wireless","('120 Hours', 'Hours')","₹1,589","₹7,990",4.2,"(87,110)",80% off
73,Boult,"Black Gloss, True Wireless","('48H', 'H')","₹1,299","₹3,499",4.1,"(1,21,719)",62% off
74,Nu,"Yellow, True Wireless","('60hrs', 'hrs')","₹1,599","₹4,999",4.6,(115),68% off
75,Noise,"Forest Green, True Wireless","('50H', 'H')","₹1,299","₹3,499",4,"(5,99,343)",62% off
76,HOUSE,"Black, True Wireless",,₹682,"₹1,999",4.1,(35),65% off
77,Boult,"Glacier Blue, True Wireless","('35H', 'H')",₹799,"₹2,499",4.1,"(1,70,066)",68% off
78,boAt,"Black Sabre, True Wireless","('40 H', 'H')","₹1,299","₹3,499",4,"(12,58,722)",62% off
79,Seashot,"Multicolor, True Wireless",,₹480,"₹2,899",4.1,(34),83% off
80,Aroma,"Electric White, True Wireless","('50H', 'H')",₹479,"₹2,999",3.9,(591),84% off
81,Aroma,"Electric Blue, True Wireless","('50H', 'H')",₹479,"₹2,999",3.9,(591),84% off
82,Mivi,"Black, True Wireless",,₹699,"₹3,499",4,"(32,244)",80% off
83,HOPPUP,"Blue, True Wireless","('40H', 'H')",₹599,"₹3,999",4.1,"(49,973)",85% off
84,realme,"Monet Purple, True Wireless",,"₹1,999","₹3,999",4.3,"(1,18,090)",50% off
85,TOUCH,"White, True Wireless",,₹360,"₹1,099",4.3,(3),67% off
86,Aroma,"Galaxy Black, True Wireless","('60H', 'H')",₹493,"₹2,899",3.9,(591),82% off
87,TRIGGR,"Black, True Wireless",,₹799,"₹3,999",4,"(58,593)",80% off
88,Noise,"Deep wine, True Wireless","('40 H', 'H')",₹799,"₹3,499",4.1,"(92,255)",77% off
89,house,"White, True Wireless",,₹386,"₹1,999",4.6,(14),80% off
90,Boult,"Electric Black, True Wireless","('48H', 'H')","₹1,099","₹2,999",4.1,"(1,32,105)",63% off
91,Noise,"Midnight Blue, True Wireless","('50 H', 'H')",₹899,"₹2,999",4,"(5,99,343)",70% off
92,HOPPUP,"White, True Wireless",,₹699,"₹4,999",4.1,"(5,780)",86% off
93,boAt,"Northern Lights, True Wireless",,"₹2,299","₹13,990",4.2,"(87,110)",83% off
94,realme,"Flame Silver, True Wireless",,"₹2,799","₹5,999",4.4,"(16,235)",53% off
95,OnePlus,"Metallic Gray IN, True Wireless",,"₹4,699","₹6,499",4.5,"(30,346)",27% off
96,HOPPUP,"Red, True Wireless",,₹799,"₹4,999",4,"(4,340)",84% off
97,Aroma,"White, True Wireless","('60H', 'H')",₹493,"₹2,899",3.9,(591),82% off
98,Aroma,"Galaxy Blue, True Wireless","('60H', 'H')",₹493,"₹2,899",3.9,(591),82% off
99,realme,"Arctic White, True Wireless",,"₹2,499","₹5,999",4.3,"(40,684)",58% off
100,Aroma,"Electric Green, True Wireless","('50H', 'H')",₹479,"₹2,999",3.9,(591),84% off
101,Aroma,"Galaxy Green, True Wireless","('60H', 'H')",₹493,"₹2,899",3.9,(591),82% off
102,PTron,"Black, True Wireless","('50hrs', 'hrs')",₹699,"₹3,799",4.1,(240),81% off
103,SONY,"Blue, True Wireless",,"₹3,990","₹8,990",4.2,(434),55% off
104,Boult,"Black, True Wireless","('60H', 'H')","₹1,499","₹3,999",3.9,(99),62% off
105,realme,"Forrest Green, True Wireless",,"₹2,799","₹5,999",4.4,"(16,235)",53% off
106,TRIGGR,"Jungle Green, True Wireless","('40H', 'H')",₹599,"₹2,999",4,"(42,420)",80% off
107,Boult,"Ivory White, True Wireless","('48H', 'H')","₹1,099","₹2,999",4.1,"(1,32,105)",63% off
108,boAt,"Interstellar Green, True Wireless",,"₹1,599","₹6,490",4.1,"(9,708)",75% off
109,boAt,"White, True Wireless","('50 HRS', 'HRS')","₹1,199","₹6,999",4,"(12,58,722)",82% off
110,Boult,"White Opal, True Wireless","('48H', 'H')","₹1,199","₹3,499",4.1,"(1,21,719)",65% off
111,CMF,"Dark Grey, True Wireless",,"₹1,799","₹2,999",4.3,"(44,362)",40% off
112,CMF,"Light Grey, True Wireless",,"₹1,799","₹2,999",4.3,"(44,362)",40% off
113,Nu,"Green, True Wireless","('64 hrs', 'hrs')","₹1,499","₹4,999",4.7,(157),70% off
114,boAt,"Black, True Wireless",,"₹1,599","₹6,990",4.1,(963),77% off
115,moto,"Kiwi Green, True Wireless","('42 h', 'h')","₹1,999","₹7,999",4.1,"(7,330)",75% off
